Date,Adj Close,Close,High,Low,Open,Volume,30d_MA,90d_MA,RSI,MACD,MACD_Signal,BB_MA,BB_Upper,BB_Lower,Typical_Price,Cumulative_TPV,Cumulative_Volume,VWAP
2024-11-08,587.8892822265625,589.3400268554688,593.0999755859375,584.52001953125,591.5399780273438,9415700,579.844667561849,535.8863328721789,55.83540718697034,3.869732287122474,4.095777744708233,577.6474975585937,597.7198401946592,557.5751549225282,588.9866739908854,645431363639.4653,1215145600,531.1555780965386
2024-11-11,581.7344360351562,583.1699829101562,587.0,576.510009765625,586.3599853515625,10209100,580.202333577474,536.3669996473525,50.48004134341862,3.957450960675601,4.0681123879017065,577.2849975585938,596.6349780953744,557.9350170218131,582.2266642252604,651375373877.2074,1225354700,531.5810792395112
2024-11-12,583.38037109375,584.8200073242188,599.6599731445312,580.3800048828125,588.5399780273438,16287700,580.4806681315105,536.983666314019,60.14401112051364,4.112703140100507,4.077030538341467,577.2124969482422,596.4311497446898,557.9938441517946,588.2866617838541,660957210538.3442,1241642400,532.3249355356617
2024-11-13,578.572265625,580.0,585.6400146484375,575.1699829101562,582.6099853515625,10757600,580.7203348795573,537.5392218695747,55.825684549650944,3.802969042389236,4.022218239151021,577.372998046875,596.6303704516463,558.1156256421036,580.2699991861979,667199523081.5897,1252400000,532.7367638786249
2024-11-14,575.7391967773438,577.1599731445312,580.760009765625,573.010009765625,577.0,11053700,580.5333333333333,538.0111104329427,51.91196388396597,3.290406350100625,3.875855861340942,577.3844970703125,596.6410303047658,558.1279638358592,576.9766642252604,673577250034.9365,1263453700,533.1238097881518
2024-11-15,552.7160034179688,554.0800170898438,572.5700073242188,551.5,571.219970703125,17712900,579.1380004882812,538.470888264974,40.00169288441147,1.0101922893854862,3.3027231469498513,576.2649993896484,598.1670001179605,554.3629986613364,559.3833414713541,683485551224.0845,1281166600,533.4868636320089
2024-11-18,553.0352172851562,554.4000244140625,559.9000244140625,550.0900268554688,557.0399780273438,14346700,578.1253336588542,539.0878885904948,31.59441311081318,-0.7622847213725663,2.489721573285368,575.227001953125,599.217662612531,551.236341293719,554.7966918945312,691445052923.6877,1295513300,533.7228517250172
2024-11-19,559.7088012695312,561.0900268554688,561.4299926757812,550.5999755859375,551.8599853515625,9522400,577.0653340657552,539.8093332926433,36.1454753722795,-1.6086151222659737,1.6700542341750997,574.1810028076172,598.7438486496583,549.6181569655762,557.7066650390625,696755758870.8557,1305035700,533.8978534233628
2024-11-20,564.1278686523438,565.52001953125,566.3499755859375,554.2000122070312,562.9299926757812,9797300,576.232334391276,540.650777859158,48.868631758761225,-1.8999729707981032,0.9560487931804591,574.2725036621093,598.6839665641609,549.8610407600578,562.0233357747396,702262070098.4415,1314833000,534.1074266453926
2024-11-21,561.7039184570312,563.0900268554688,570.0,549.0499877929688,569.52001953125,11154700,575.5410013834636,541.7741115993923,47.813033770363624,-2.3004382453992775,0.30475138546451175,574.0380035400391,598.7996610087501,549.276346071328,560.7133382161459,708516659172.2412,1325987700,534.3312454348115
